source,row,stage,kind,cohort,task,engine,model,repeat,success,task_ms,setup_ms,routing_ms,driver_ms,primary_ms,jev_ms,primary_calls,jev_calls,known_usd,primary_cost_unknown,state,end_reason,error
docs/benchmarks/jev-2026-09-17.json,1,historical,final,historical/final,search,classic,gpt-5.6-sol,1,True,15896.867829,190.53301799999963,,,15800.418554,0,6,0,0,True,completed,final_answer,
docs/benchmarks/jev-2026-09-17.json,2,historical,final,historical/final,search,jev-hybrid,gpt-5.6-sol,1,True,12028.812421999999,194.06950900000083,,,10667.385251999996,1266.394070000002,4,3,0.00013755,True,completed,final_answer,
docs/benchmarks/jev-2026-09-17.json,3,historical,final,historical/final,search,jev-hybrid,gpt-5.6-sol,2,True,12965.968954,184.44306300000244,,,11436.464010000003,1425.3822640000071,5,3,0.00013830600000000001,True,completed,final_answer,
docs/benchmarks/jev-2026-09-17.json,4,historical,final,historical/final,search,classic,gpt-5.6-sol,2,True,13029.37786,190.97623800000292,,,12943.226627000018,0,6,0,0,True,completed,final_answer,
docs/benchmarks/jev-2026-09-17.json,5,historical,final,historical/final,search,classic,gpt-5.6-sol,3,True,17203.145989000004,189.6706239999985,,,17128.427438999992,0,6,0,0,True,completed,final_answer,
docs/benchmarks/jev-2026-09-17.json,6,historical,final,historical/final,search,jev-hybrid,gpt-5.6-sol,3,True,14834.044837999987,180.0294419999991,,,13646.210195000007,1094.9304430000047,4,3,0.00013830600000000001,True,completed,final_answer,
docs/benchmarks/jev-2026-09-17.json,7,historical,final,historical/final,search,jev-hybrid,gpt-5.6-sol,4,True,14472.262046000003,186.67478199998732,,,13089.027117000005,1284.9416269999929,4,3,0.00013906200000000002,True,completed,final_answer,
docs/benchmarks/jev-2026-09-17.json,8,historical,final,historical/final,search,classic,gpt-5.6-sol,4,True,17792.535430999997,184.50125000000116,,,17709.745448999995,0,6,0,0,True,completed,final_answer,
docs/benchmarks/jev-2026-09-17.json,9,historical,final,historical/final,search,classic,gpt-5.6-sol,5,True,20415.943606,188.5329150000034,,,20342.01132999998,0,6,0,0,True,completed,final_answer,
docs/benchmarks/jev-2026-09-17.json,10,historical,final,historical/final,search,jev-hybrid,gpt-5.6-sol,5,True,12888.476741999999,188.62175500000012,,,11585.83957599997,1203.9294230000232,4,3,0.000138684,True,completed,final_answer,
docs/benchmarks/jev-2026-09-17.json,11,historical,final,historical/final,filters,classic,gpt-5.6-sol,1,True,20674.142660000012,187.24986299997545,,,20530.341612999997,0,8,0,0,True,completed,final_answer,
docs/benchmarks/jev-2026-09-17.json,12,historical,final,historical/final,filters,jev-hybrid,gpt-5.6-sol,1,True,13484.940705000015,186.74344399999245,,,11799.383850000013,1561.2102649999724,5,4,0.00022974000000000003,True,completed,final_answer,
docs/benchmarks/jev-2026-09-17.json,13,historical,final,historical/final,filters,jev-hybrid,gpt-5.6-sol,2,True,20239.257167999982,200.6948909999919,,,20140.753918000002,0,8,0,0,True,completed,final_answer,
docs/benchmarks/jev-2026-09-17.json,14,historical,final,historical/final,filters,classic,gpt-5.6-sol,2,True,19912.219069999992,193.88968699998804,,,19811.842882000085,0,8,0,0,True,completed,final_answer,
docs/benchmarks/jev-2026-09-17.json,15,historical,final,historical/final,filters,classic,gpt-5.6-sol,3,True,15509.356426000013,188.82967999999528,,,15406.368939000007,0,9,0,0,True,completed,final_answer,
docs/benchmarks/jev-2026-09-17.json,16,historical,final,historical/final,filters,jev-hybrid,gpt-5.6-sol,3,True,14480.609075000015,186.35708700001123,,,12747.00591300003,1597.280031000002,5,4,0.00022974000000000003,True,completed,final_answer,
docs/benchmarks/jev-2026-09-17.json,17,historical,final,historical/final,filters,jev-hybrid,gpt-5.6-sol,4,True,23551.643241000012,194.68141299998388,,,23451.235972999886,0,8,0,0,True,completed,final_answer,
docs/benchmarks/jev-2026-09-17.json,18,historical,final,historical/final,filters,classic,gpt-5.6-sol,4,True,17148.284408000007,201.3712419999647,,,17036.707475000003,0,8,0,0,True,completed,final_answer,
